id,Geographic_Area_Name,Year,Share_of_Male_Aged_15_24,Foreign_Born ,Male_Householder_No_Spouse_Partner_Present,predicted_ratio_it,ineq,violent_crime,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,total_crime
1,Alabama,2012,14.7,3.4,4,0.498351076,0.480769231,21693,5020,15035,168878,47481,111523,9874,379504
2,Alaska,2012,15.9,7.2,5.4,1.969871063,1.882716049,4412,630,3169,20037,2950,15565,1522,48285
3,Arizona,2012,14.6,13.4,5.4,0.771268491,0.73015873,28077,7383,18054,231701,52911,159808,18982,516916
4,Arkansas,2012,14.3,4.4,4.4,0.412043456,0.393188854,13851,2310,10134,109389,32673,70982,5734,245073
5,California,2012,15.4,27.1,6,1.379890341,1.26146789,160944,56521,94702,1049465,245767,635090,168608,2411097
6,Colorado,2012,14,9.8,4.6,1.151973244,1.173913043,15951,3392,10285,139355,26163,101091,12101,308338
7,Connecticut,2012,14.3,13.8,4.7,1.755524313,1.710526316,10183,3709,5424,77169,14787,55904,6478,173654
8,Delaware,2012,14.5,8.5,4.8,1.235639492,1.223350254,5048,1498,3245,30707,7389,21880,1438,71205
9,District of Columbia,2012,15.5,14.3,3.5,1.427768208,1.586666667,7866,4037,3505,30757,3519,23575,3663,76922
10,Florida,2012,13.6,19.4,4.5,0.655010286,0.63099631,94087,23889,63929,632988,153563,442095,37330,1447881
11,Georgia,2012,15.1,9.5,4.7,0.725924586,0.691176471,37675,12502,22447,339473,86992,223875,28606,751570
12,Hawaii,2012,14.2,18.1,5.3,1.694951444,1.640449438,3378,1125,1953,43419,7653,31901,3865,93294
13,Idaho,2012,14.3,6.1,4.2,0.514191534,0.562992126,3348,243,2580,31825,7240,23203,1382,69821
14,Illinois,2012,14.5,13.9,4.6,1.073548493,1.039473684,53556,19480,29725,332706,71100,235314,26292,768173
15,Indiana,2012,15,4.6,4.6,0.60769471,0.628458498,22544,6601,13975,197994,47689,136668,13637,439108
16,Iowa,2012,14.7,4.5,4.1,0.704034484,0.753246753,8167,962,6255,70357,17201,49116,4040,156098
17,Kansas,2012,15.1,6.5,4.5,0.759687555,0.798283262,10292,1493,7609,91066,18874,65413,6779,201526
18,Kentucky,2012,14.2,3.1,4.8,0.441389212,0.459807074,9852,3547,4792,112800,29877,76199,6724,243791
19,Louisiana,2012,14.8,3.7,5.3,0.576823839,0.546623794,22839,5458,15737,162673,42037,112764,7872,369380
20,Maine,2012,12.9,3.5,4.2,0.618678098,0.604651163,1626,420,808,33398,7476,24931,991,69650
21,Maryland,2012,14.4,14.3,4.9,2.271367553,2.103658537,28086,10173,16303,162309,33803,113550,14956,379180
22,Massachusetts,2012,14.7,15,4.1,1.523628575,1.511961722,27047,6555,18721,143325,34635,99453,9237,338973
23,Michigan,2012,14.8,6.1,4.4,0.638999347,0.651685393,44962,10423,29203,249249,65560,158609,25080,583086
24,Minnesota,2012,13.6,7.2,4.3,1.141244579,1.229591837,12419,3475,7207,138152,25378,104316,8458,299405
25,Mississippi,2012,15.8,2,5.2,0.349382705,0.345505618,7769,2277,4460,83933,28084,51520,4329,182372
26,Missouri,2012,14.4,3.8,4.3,0.616614358,0.586080586,27189,5782,19490,199813,42510,140971,16332,452087
27,Montana,2012,14,1.8,4.7,0.524674344,0.554744526,2803,202,2180,26102,3920,20484,1698,57389
28,Nebraska,2012,14.4,6.4,4.3,0.724032184,0.784140969,4802,1128,2912,51203,8745,38301,4157,111248
29,Nevada,2012,13.4,19.2,6.5,0.913109128,0.767241379,16763,4918,10790,77510,22120,45372,10018,187491
30,New Hampshire,2012,13.8,5.4,4.2,1.649714173,1.568181818,2841,471,1869,32074,5988,25024,1062,69329
31,New Jersey,2012,13.8,21.2,4.8,2.027127166,1.888268156,25727,11385,12919,181481,42338,122662,16481,412993
32,New Mexico,2012,14.5,9.2,5.7,0.571542889,0.54,11660,1847,8740,75094,21384,48247,5463,172435
33,New York,2012,14.8,22.6,5.1,1.160977241,1.095833333,79535,28633,47382,375268,64389,293562,17317,906086
34,North Carolina,2012,14.6,7.7,4.6,0.577082992,0.586956522,34464,9392,22609,328594,99323,213151,16120,723653
35,North Dakota,2012,17,2.8,4.1,0.697584544,0.995283019,1723,127,1292,14297,2429,10687,1181,31736
36,Ohio,2012,14.2,3.9,4.5,0.62923819,0.62962963,34827,15396,15140,370435,105312,245372,19751,806233
37,Oklahoma,2012,14.6,5.6,5.1,0.516443422,0.539285714,18102,3248,13012,130969,36094,83131,11744,296300
38,Oregon,2012,13.6,9.6,4.6,0.716127568,0.725490196,9638,2419,5969,126417,22051,94114,10252,270860
39,Pennsylvania,2012,14.4,6,4.3,0.828192375,0.838842975,45384,15735,25571,276562,57040,204409,15113,639814
40,Rhode Island,2012,16,13.3,4.6,0.952350103,0.987654321,2657,715,1614,27039,5929,18478,2632,59064
41,South Carolina,2012,14.9,4.7,4.8,0.496710628,0.5221843,26474,4511,19919,181049,45222,122340,13487,413002
42,South Dakota,2012,14.5,2.7,4.3,0.621745581,0.669527897,2701,157,1921,17326,3280,12973,1073,39431
43,Tennessee,2012,14.2,4.5,4.5,0.507299552,0.513793103,41213,8151,30615,217925,56231,148731,12963,515829
44,Texas,2012,15.2,16.4,5.2,0.852416397,0.873469388,106475,30385,67227,876459,205002,606425,65032,1957005
45,Utah,2012,16.2,8.4,4.2,1.080911256,1.116402116,5939,1105,3807,86284,13095,67157,6032,183419
46,Vermont,2012,14.9,4.1,3.9,0.759751153,0.877828054,891,114,638,15653,4179,11014,460,32949
47,Virginia,2012,14.4,11.6,4.2,1.617866301,1.484536082,15676,4718,9131,178434,29651,139654,9129,386393
48,Washington,2012,14,13.3,4.4,1.179633995,1.206896552,20553,5801,12285,254377,61376,166338,26663,547393
49,West Virginia,2012,13.4,1.4,4.3,0.348782057,0.368902439,5943,835,4623,44500,11466,30800,2234,100401
50,Wisconsin,2012,14,4.8,4.4,0.758452542,0.787878788,16254,4692,10165,140780,27931,104619,8230,312671
51,Wyoming,2012,14.2,3.4,4.6,1.007962553,0.976415094,1161,61,932,13222,2125,10513,584,28598
52,Puerto Rico,2012,15.9,0,0,0.069362393,0.057142857,,,,,,,,
1,Alabama,2013,14.7,3.4,4.4,0.536327668,0.523333333,20834,4645,13788,161835,42410,108862,10563,362937
2,Alaska,2013,16.3,6.9,5.7,2.11572247,2.321678322,4709,623,3127,21211,2917,16599,1695,50881
3,Arizona,2013,14.6,13.5,5.4,0.831022277,0.75,27576,6656,17391,223294,48292,158036,16966,498211
4,Arkansas,2013,14.2,4.5,4.7,0.443483855,0.426282051,13705,2261,9796,106477,30369,70430,5678,238716
5,California,2013,15.1,26.9,6,1.485492547,1.358490566,154739,53640,89029,1018907,232058,621557,165292,2335222
6,Colorado,2013,14,9.5,4.4,1.239414281,1.304568528,16099,3136,9826,139974,25075,102375,12524,309009
7,Connecticut,2013,14.4,13.9,4.3,1.892202266,1.755319149,9439,3551,4906,71274,12934,52099,6241,160444
8,Delaware,2013,14.1,8.3,4.3,1.331255659,1.269430052,4633,1233,2960,29001,6299,21347,1355,66828
9,District of Columbia,2013,15,14.4,4.3,1.540479597,1.572687225,8415,4082,3835,31097,3316,24547,3234,78526
10,Florida,2013,13.5,19.4,4.7,0.705280986,0.670454545,91993,23200,61054,607170,138915,433344,34911,1390587
11,Georgia,2013,15.1,9.7,5,0.781779088,0.727272727,37519,12704,21361,339808,83459,229190,27159,751200
12,Hawaii,2013,14.1,17.6,5.1,1.82263253,1.843023256,3585,934,2111,45266,7777,32928,4561,97162
13,Idaho,2013,14.8,5.9,4.7,0.553550364,0.597510373,3471,220,2548,30230,6693,21999,1538,66699
14,Illinois,2013,14.4,14,4.6,1.155944298,1.107623318,51956,17733,28161,296048,59093,216059,20896,689946
15,Indiana,2013,14.7,4.8,4.6,0.654643712,0.652173913,23627,7114,13915,187472,42754,130534,14184,419600
16,Iowa,2013,14.7,4.8,4.3,0.757010185,0.868181818,8443,937,6332,67976,15918,47803,4255,151664
17,Kansas,2013,15.1,6.8,4.3,0.817815442,0.859649123,9928,1339,7177,85704,17476,61557,6671,189852
18,Kentucky,2013,14.2,3.4,5.1,0.47488428,0.510067114,9280,3247,4215,104448,26331,72048,6069,225638
19,Louisiana,2013,14.8,3.9,5.3,0.62079585,0.6,24127,5539,16331,165679,41214,115300,9165,377355
20,Maine,2013,13,3.4,4.3,0.666513411,0.62835249,1761,335,907,30454,6480,23063,911,63911
21,Maryland,2013,14.2,14.2,4.7,2.447487588,2.20754717,28235,10048,16124,157918,31950,112551,13417,370243
22,Massachusetts,2013,14.6,15.6,4.3,1.640981625,1.608910891,27264,6705,18118,137274,30716,97437,9121,326635
23,Michigan,2013,14.9,6.2,4.7,0.68769724,0.7109375,44757,10093,27254,230135,56256,149794,24085,542374
24,Minnesota,2013,13.7,7.4,4.1,1.228522402,1.321243523,12710,3674,6908,131193,22713,100514,7966,285678
25,Mississippi,2013,15.6,2.1,4.9,0.37616701,0.363372093,8303,2413,4649,81548,24969,52192,4387,178461
26,Missouri,2013,14.2,3.9,4.3,0.663344785,0.653846154,26216,5486,18056,189655,38797,134514,16344,429068
27,Montana,2013,14,1.9,4.7,0.564525061,0.620817844,2924,217,2217,26195,4122,20192,1881,57748
28,Nebraska,2013,14.4,6.6,4.2,0.779243289,0.856502242,4949,1035,3011,49197,8945,35791,4461,107389
29,Nevada,2013,13.5,19,5.6,0.982410694,0.853982301,16888,5183,10060,79177,23047,46132,9998,190485
30,New Hampshire,2013,13.9,5.7,4.4,1.778192883,1.597701149,2952,645,1708,30409,5283,24188,938,66123
31,New Jersey,2013,13.6,21.6,5,2.185300475,1.901098901,25748,12084,12071,167634,35883,118005,13746,385171
32,New Mexico,2013,14.8,10.1,5.2,0.615930598,0.551495017,12990,1832,9470,78958,21828,51146,5984,182208
33,New York,2013,14.5,22.3,5,1.249930309,1.175213675,77563,27241,46130,358603,56444,286676,15483,868140
34,North Carolina,2013,14.9,7.6,4.5,0.621077353,0.641791045,33587,9275,21325,305631,90182,201043,14406,675449
35,North Dakota,2013,17.3,2.9,4.3,0.751193098,1.052380952,1979,161,1447,15356,2979,10942,1435,34299
36,Ohio,2013,14.2,4.1,4.7,0.676758544,0.713178295,33722,14483,14370,338414,91090,227799,19525,739403
37,Oklahoma,2013,14.8,5.7,5,0.555472537,0.609022556,17187,3023,11652,126418,33512,81624,11282,284698
38,Oregon,2013,13.5,10,4.4,0.770722493,0.790983607,9536,2394,5596,125083,20808,94363,9912,267692
39,Pennsylvania,2013,14.1,6.2,4.2,0.891411221,0.911016949,42825,14739,23680,263176,52000,197410,13766,607596
40,Rhode Island,2013,15.6,12.9,5.2,1.025277072,1.064655172,2710,683,1547,25741,5621,17881,2239,56422
41,South Carolina,2013,14.8,4.8,4.5,0.534726944,0.559859155,24263,3965,17760,173261,40930,119730,12601,392510
42,South Dakota,2013,14.5,2.9,4.6,0.669258163,0.723214286,2733,156,2052,16274,3383,11955,936,37489
43,Tennessee,2013,14.2,4.7,4.7,0.545919729,0.564285714,38063,7333,27895,207683,51334,144443,11906,488657
